ORDER_ID,OPER_KEY,LOT_ID,SERIAL_ID,STEP_KEY,SERIAL_OPER_STATUS,ACTUAL_INQUEUE_DATE,ACTUAL_START_DATE,ACTUAL_END_DATE,LAST_ACTIVITY_TIME_STAMP
LOC1-ORDID-1,1,1-BAT-1,EUPAR3-SID-1,-1,COMPLETE,24/10/2024 19:55:16,24/10/2024 21:18:54,25/10/2024 01:06:33,25/10/2024 01:06:33
LOC1-ORDID-1,2,1-BAT-1,EUPAR3-SID-1,-1,COMPLETE,25/10/2024 01:06:33,25/10/2024 11:15:00,26/10/2024 05:23:47,26/10/2024 05:23:47
LOC1-ORDID-1,3,1-BAT-1,EUPAR3-SID-1,-1,COMPLETE,26/10/2024 05:23:47,26/10/2024 10:45:13,27/10/2024 02:23:30,27/10/2024 02:23:30
LOC1-ORDID-1,4,1-BAT-1,EUPAR3-SID-1,-1,COMPLETE,27/10/2024 02:23:30,27/10/2024 15:19:36,27/10/2024 15:31:29,27/10/2024 15:31:29
LOC1-ORDID-1,5,1-BAT-1,EUPAR3-SID-1,-1,COMPLETE,27/10/2024 15:31:29,27/10/2024 19:06:04,28/10/2024 08:06:35,28/10/2024 08:06:35
LOC1-ORDID-1,6,1-BAT-1,EUPAR3-SID-1,-1,COMPLETE,28/10/2024 08:06:35,28/10/2024 11:30:31,30/10/2024 01:32:55,30/10/2024 01:32:55
LOC1-ORDID-1,7,1-BAT-1,EUPAR3-SID-1,-1,COMPLETE,30/10/2024 01:32:55,30/10/2024 12:27:31,30/10/2024 17:06:15,30/10/2024 17:06:15
LOC1-ORDID-1,8,1-BAT-1,EUPAR3-SID-1,-1,ACTIVE,30/10/2024 17:06:15,31/10/2024 05:58:21,,31/10/2024 05:58:21
LOC1-ORDID-1,9,1-BAT-1,EUPAR3-SID-1,-1,PENDING,,,,
LOC1-ORDID-1,10,1-BAT-1,EUPAR3-SID-1,-1,PENDING,,,,
LOC1-ORDID-1,11,1-BAT-1,EUPAR3-SID-1,-1,PENDING,,,,
LOC1-ORDID-1,12,1-BAT-1,EUPAR3-SID-1,-1,PENDING,,,,
LOC1-ORDID-1,13,1-BAT-1,EUPAR3-SID-1,-1,PENDING,,,,
LOC1-ORDID-2,1,1-BAT-2,ECPAR6-SID-1,-1,COMPLETE,03/09/2024 07:00:05,03/09/2024 13:07:53,05/09/2024 01:18:45,05/09/2024 01:18:45
LOC1-ORDID-2,2,1-BAT-2,ECPAR6-SID-1,-1,COMPLETE,05/09/2024 01:18:45,05/09/2024 03:15:55,05/09/2024 05:21:31,05/09/2024 05:21:31
LOC1-ORDID-2,3,1-BAT-2,ECPAR6-SID-1,-1,ACTIVE,05/09/2024 05:21:31,05/09/2024 12:21:51,,05/09/2024 12:21:51
LOC1-ORDID-2,4,1-BAT-2,ECPAR6-SID-1,-1,PENDING,,,,
LOC1-ORDID-2,5,1-BAT-2,ECPAR6-SID-1,-1,PENDING,,,,
LOC1-ORDID-2,6,1-BAT-2,ECPAR6-SID-1,-1,PENDING,,,,
LOC1-ORDID-2,7,1-BAT-2,ECPAR6-SID-1,-1,PENDING,,,,
LOC1-ORDID-2,8,1-BAT-2,ECPAR6-SID-1,-1,PENDING,,,,
LOC1-ORDID-2,9,1-BAT-2,ECPAR6-SID-1,-1,PENDING,,,,
LOC1-ORDID-3,1,1-BAT-3,EUPAR6-SID-1,-1,COMPLETE,27/08/2024 08:04:27,27/08/2024 19:44:33,28/08/2024 07:15:32,28/08/2024 07:15:32
LOC1-ORDID-3,2,1-BAT-3,EUPAR6-SID-1,-1,COMPLETE,28/08/2024 07:15:32,28/08/2024 09:11:52,29/08/2024 10:42:28,29/08/2024 10:42:28
LOC1-ORDID-3,3,1-BAT-3,EUPAR6-SID-1,-1,COMPLETE,29/08/2024 10:42:28,29/08/2024 16:54:50,29/08/2024 17:36:00,29/08/2024 17:36:00
LOC1-ORDID-3,4,1-BAT-3,EUPAR6-SID-1,-1,COMPLETE,29/08/2024 17:36:00,30/08/2024 06:26:22,30/08/2024 15:43:53,30/08/2024 15:43:53
